date,대게_20대_1,대게_20대_273,대게_30대_1,대게_30대_370,대게_40대_1,대게_40대_5,대게_50대_1,대게_50대_5,대게_Gold_177,대게_KOSPI_148,대게_Silver_177,대게_USD/KRW_90,대게_WTI_91,대게_기온_22105_150,대게_수온_22188_140,대게_습도_22188_355,대게_파주기_22105_174
2015-01-01,,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,,,,,,,,,,,
2015-01-04,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,,,,,,,,,,,
2015-01-11,,,,,,,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,,,,,
2015-01-17,,,,,,,,,,,,,,,,,
2015-01-18,,,,,,,,,,,,,,,,,
2015-01-19,,,,,,,,,,,,,,,,,
2015-01-20,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,,,,,,,,,,
2015-01-22,,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,,,
2015-01-24,,,,,,,,,,,,,,,,,
2015-01-25,,,,,,,,,,,,,,,,,
2015-01-26,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,,,,,,,,
2015-01-29,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,,,,,,,,
2015-01-31,,,,,,,,,,,,,,,,,
2015-02-01,,,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,,,,,
2015-02-04,,,,,,,,,,,,,,,,,
2015-02-05,,,,,,,,,,,,,,,,,
2015-02-06,,,,,,,,,,,,,,,,,
2015-02-07,,,,,,,,,,,,,,,,,
2015-02-08,,,,,,,,,,,,,,,,,
2015-02-09,,,,,,,,,,,,,,,,,
2015-02-10,,,,,,,,,,,,,,,,,
2015-02-11,,,,,,,,,,,,,,,,,
2015-02-12,,,,,,,,,,,,,,,,,
2015-02-13,,,,,,,,,,,,,,,,,
2015-02-14,,,,,,,,,,,,,,,,,
2015-02-15,,,,,,,,,,,,,,,,,
2015-02-16,,,,,,,,,,,,,,,,,
2015-02-17,,,,,,,,,,,,,,,,,
2015-02-18,,,,,,,,,,,,,,,,,
2015-02-19,,,,,,,,,,,,,,,,,
2015-02-20,,,,,,,,,,,,,,,,,
2015-02-21,,,,,,,,,,,,,,,,,
2015-02-22,,,,,,,,,,,,,,,,,
2015-02-23,,,,,,,,,,,,,,,,,
2015-02-24,,,,,,,,,,,,,,,,,
2015-02-25,,,,,,,,,,,,,,,,,
2015-02-26,,,,,,,,,,,,,,,,,
2015-02-27,,,,,,,,,,,,,,,,,
2015-02-28,,,,,,,,,,,,,,,,,
2015-03-01,,,,,,,,,,,,,,,,,
2015-03-02,,,,,,,,,,,,,,,,,
2015-03-03,,,,,,,,,,,,,,,,,
2015-03-04,,,,,,,,,,,,,,,,,
2015-03-05,,,,,,,,,,,,,,,,,
2015-03-06,,,,,,,,,,,,,,,,,
2015-03-07,,,,,,,,,,,,,,,,,
2015-03-08,,,,,,,,,,,,,,,,,
2015-03-09,,,,,,,,,,,,,,,,,
2015-03-10,,,,,,,,,,,,,,,,,
